run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,lifecycle_id,canonical_article_id,article_integrity_status,primary_display_section,secondary_display_sections,repeat_exposure_status,published_date_normalized,collected_date_normalized,article_age_days,freshness_bucket,freshness_status,freshness_reason,freshness_score,access_status,canonical_asset_or_project_name,market,city_or_submarket,residential_sector,gp_or_developer,lender_or_capital_partner,current_lifecycle_stage,primary_development_category,primary_category_reason,previous_lifecycle_stage_if_known,lifecycle_progression_signal,lifecycle_risk_score,lifecycle_opportunity_score,timing_bucket,entitlement_complexity_flag,financing_dependency_flag,construction_execution_flag,lease_up_risk_flag,woomi_lifecycle_relevance,recommended_lifecycle_follow_up,evidence_signals,source_article_title,source,url,confidence_level
2026-06-01,20260601-012139-c701e5e3,PRJ-20260601-0038,"JV / Partnership - California - PCCP, Alliance Residential Snap Up Garden-Style Riverside Complex",100,LC-20260601-004,art_fe740a152ba7cd5a,valid,Development Activity,GP / Capital Activity,acceptable_repeat,,,,unknown_date,unknown_date_review,derived row did not carry source published date,70,accessible,"JV / Partnership - California - PCCP, Alliance Residential Snap Up Garden-Style Riverside Complex",California,California,Apartment,Alliance Residential,Unknown,Delivery / Opening,construction_delivery_watch,matched completed,Delivery / Opening,Mature / Operating,7,100,Unknown Timing,Low,Low,Low,Medium,Relevant to underwriting benchmark,"Benchmark delivery, lease-up, occupancy, and rent assumptions",Delivery / Opening; Completed / opened; Lease-Up / Delivery; completed,"PCCP, Alliance Residential Snap Up Garden-Style Riverside Complex",Connect CRE,https://www.connectcre.com/stories/pccp-alliance-residential-snap-up-garden-style-riverside-complex/,High
2026-06-01,20260601-012139-c701e5e3,PRJ-20260601-0042,Entitlement / Permitting - California - Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,100,LC-20260601-003,art_7ffcfcf412093268,valid,Development Activity,,repeat_penalized,,,,unknown_date,unknown_date_review,derived row did not carry source published date,51,accessible,Entitlement / Permitting - California - Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,California,California,Apartment,Lincoln Property Company,Unknown,Unknown Stage,approval_watch,matched permit,Unknown Stage,Reappearing,18,94,Unknown Timing,Unknown,Unknown,Unknown,Unknown,General monitoring,Monitor lifecycle signal for repeated confirmation,Unknown Stage; Entitlement Play; No explicit timing reference,Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,Urbanize LA,https://la.urbanize.city/post/updated-plan-apartments-1238-lincoln-blvd-santa-monica,High
2026-06-01,20260601-012139-c701e5e3,PRJ-20260601-0035,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,100,LC-20260601-021,art_60303e6c9069cb7f,valid,GP / Capital Activity,,repeat_penalized,,,,unknown_date,unknown_date_review,derived row did not carry source published date,5,accessible,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,Sun Belt,Atlanta,Apartment,Wood Partners,northmarq,Unknown Stage,excluded,excluded operating-asset disposition,Unknown Stage,Reappearing,16,89,Unknown Timing,Unknown,Unknown,Unknown,Unknown,General monitoring,Monitor lifecycle signal for repeated confirmation,Unknown Stage; General Asset Signal; No explicit timing reference,Charlotte Apartment Project Fetches $107M,Connect CRE Charlotte,https://www.connectcre.com/stories/charlotte-apartment-project-fetches-107m/,High
2026-06-01,20260601-012139-c701e5e3,PRJ-20260601-0066,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,80,LC-20260601-014,art_7ffcfcf412093268,valid,Development Activity,,repeat_penalized,2026-05-28,2026-06-01,4,recent_4_14d,usable_recent,published date parsed; article age 4 day(s),51,accessible,Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,California,Los Angeles,Apartment,Unknown,Unknown,Site Acquisition / Site Control,excluded,no clear development milestone,Site Acquisition / Site Control,Reappearing,23,85,Unknown Timing,Low,Low,Low,Low,Relevant to acquisition / JV timing,Monitor lifecycle signal for repeated confirmation,Site Acquisition / Site Control; General Asset Signal; No explicit timing reference,Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,Urbanize LA,https://la.urbanize.city/post/updated-plan-apartments-1238-lincoln-blvd-santa-monica,High
2026-06-01,20260601-012139-c701e5e3,PRJ-20260601-0034,"Acquisition - Arizona - Wood Partners Sells 278-Unit Alta Rise Multifamily Community in Gilbert, Arizona",100,LC-20260601-022,art_d531bfb6e423e504,valid,Development Activity,GP / Capital Activity,acceptable_repeat,,,,unknown_date,unknown_date_review,derived row did not carry source published date,70,accessible,"Acquisition - Arizona - Wood Partners Sells 278-Unit Alta Rise Multifamily Community in Gilbert, Arizona",Arizona,Arizona,Apartment,Wood Partners,Unknown,Delivery / Opening,construction_delivery_watch,matched completed,Delivery / Opening,Mature / Operating,5,85,Unknown Timing,Low,Low,Low,Medium,Relevant to underwriting benchmark,"Benchmark delivery, lease-up, occupancy, and rent assumptions",Delivery / Opening; Completed / opened; Lease-Up / Delivery; completed,"Wood Partners Sells 278-Unit Alta Rise Multifamily Community in Gilbert, Arizona",REBusiness Online,https://rebusinessonline.com/wood-partners-sells-278-unit-alta-rise-multifamily-community-in-gilbert-arizona/,High
2026-06-01,20260601-012139-c701e5e3,PRJ-20260601-0066,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,80,LC-20260601-005,art_94ddbfdf53356ba5,valid,Development Activity,GP / Capital Activity,acceptable_repeat,,,,unknown_date,unknown_date_review,derived row did not carry source published date,62,accessible,Construction Financing - Los Angeles - Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in Wes...,California,Los Angeles,Affordable Housing,Unknown,Unknown,Refinancing / Recapitalization,approval_watch,matched entitlement,Refinancing / Recapitalization,Mature / Operating,63,84,Unknown Timing,Low,High,Low,Low,Relevant to acquisition / JV timing,"Track lender, maturity, debt terms, and recapitalization need",Refinancing / Recapitalization; Refinancing / Recapitalization; No explicit timing reference,Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in West Hollywood,Urbanize LA,https://la.urbanize.city/post/developer-scores-construction-loan-mixed-use-project-8025-santa-monica-blvd-west-hollywood,High
2026-06-01,20260601-012139-c701e5e3,PRJ-20260601-0047,Refinancing - Florida - Benefit Street Partners Provides $82M Refi for Sarasota County Multifamily,100,LC-20260601-030,art_62d1896871cae5d4,valid,Development Activity,GP / Capital Activity,acceptable_repeat,,,,unknown_date,unknown_date_review,derived row did not carry source published date,70,accessible,Refinancing - Florida - Benefit Street Partners Provides $82M Refi for Sarasota County Multifamily,Florida,Florida,Multifamily,Crescent Communities,Berkadia,Delivery / Opening,excluded,excluded financing-only article: refinancing,Delivery / Opening,Mature / Operating,28,84,Unknown Timing,Low,High,Low,Medium,Relevant to underwriting benchmark,"Benchmark delivery, lease-up, occupancy, and rent assumptions",Delivery / Opening; Completed / opened; Refinancing / Recapitalization; opened,Benefit Street Partners Provides $82M Refi for Sarasota County Multifamily,Commercial Observer,https://commercialobserver.com/2026/05/benefit-street-partners-82m-refi-sarasota-county-multifamily/,High
2026-06-01,20260601-012139-c701e5e3,PRJ-20260601-0044,"Recapitalization - California - PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",80,LC-20260601-002,art_b7482369fd1a0600,valid,Development Activity,GP / Capital Activity,repeat_penalized,2026-05-28,2026-06-01,4,recent_4_14d,usable_recent,published date parsed; article age 4 day(s),36,accessible,"Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing",California,Unknown,Affordable Housing,Unknown,Unknown,Vertical Construction,construction_delivery_watch,matched broke ground,Vertical Construction,Reappearing,23,83,Unknown Timing,Low,Low,Medium,Low,General monitoring,"Benchmark construction timeline, sponsor execution, and delivery risk",Vertical Construction; Construction started; Affordable / Density Bonus Strategy; 2026,"Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing",Connect CRE Apartments,https://www.connectcre.com/stories/logos-faith-st-rest-break-ground-on-138-unit-affordable-housing/,High
2026-06-01,20260601-012139-c701e5e3,PRJ-20260601-0050,Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in West Hollywood,80,LC-20260601-011,art_94ddbfdf53356ba5,valid,Development Activity,GP / Capital Activity,acceptable_repeat,2026-05-27,2026-06-01,5,recent_4_14d,usable_recent,published date parsed; article age 5 day(s),62,accessible,Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in West Hollywood,California,Hollywood,Affordable Housing,Unknown,Unknown,Refinancing / Recapitalization,excluded,excluded financing-only article: construction loan,Refinancing / Recapitalization,Mature / Operating,59,82,Unknown Timing,Low,High,Low,Low,Relevant to acquisition / JV timing,"Track lender, maturity, debt terms, and recapitalization need",Refinancing / Recapitalization; Refinancing / Recapitalization; No explicit timing reference,Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in West Hollywood,Urbanize LA,https://la.urbanize.city/post/developer-scores-construction-loan-mixed-use-project-8025-santa-monica-blvd-west-hollywood,High
2026-06-01,20260601-012139-c701e5e3,PRJ-20260601-0044,"Recapitalization - California - PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",80,LC-20260601-023,art_317a006b785fbe0a,valid,GP / Capital Activity,,repeat_penalized,,,,unknown_date,unknown_date_review,derived row did not carry source published date,5,accessible,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,California,California,Apartment,Unknown,JLL,Refinancing / Recapitalization,excluded,excluded financing-only article: construction loan,Refinancing / Recapitalization,Mature / Operating,63,81,Unknown Timing,Low,High,Low,Low,Relevant to acquisition / JV timing,"Track lender, maturity, debt terms, and recapitalization need",Refinancing / Recapitalization; Refinancing / Recapitalization; No explicit timing reference,JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,Connect CRE Orange County,https://www.connectcre.com/stories/jll-lines-up-144m-construction-loan-for-santa-ana-multifamily/,High
